pre-detoxed,detoxed_text,toxicity,severe_toxicity
he got his money now he lies in wait till after the election in 2 yrs dirty politicians need to be afraid of tar and feathers again but they arent and so the people get screwed,he got his money now he lies in wait till after the election in 2 yrs dirty politicians need to be afraid of tar and feathers again but they arent and so the people get disadvantaged,0.373134328358209,0.044776119402985
mad dog will surely put the liberals in mental hospitals boorah,Bad dog will surely put the liberals in mental hospitals boorah,0.6052631578947368,0.0131578947368421
"and trump continues his lifelong cowardice by not making this announcement himself

what an awful human being ",and trump continues his lifelong cowardice by not making this announcement himself.what an awful human being ,0.6666666666666666,0.0158730158730158
"while arresting a man for resisting arrest

if you copsuckers cant see a problem with this then go suck the barrel of a glock","while arresting a man for resisting arrest,if you cops cant see a problem with this then go away.",0.8157894736842106,0.0657894736842105
tucker and paul are both total bad ass mofos,tucker and paul are both total bad people,0.55,0.0375
"cry me a river why dont you
drinking drugs dressing like a ho  bad recipe for disaster",cry me a river why dont you drink drugs dressing up bad recipe for disaster,0.2033898305084745,0.0169491525423728
"i really wish the dp would bounce people trying to make a moral equivalence between nazis and blm 


that kind of hateful bothsiderist garbage had got to stop its not even funny any more 


actual nazis are marching in this country and killing people and the response of some is but the blahs and the dp allows such posts to stay up and the posters to continue posting 


ugly",i really wish the dp would bounce people trying to make a moral equivalence between nazis and blm тАЬthat kind of hateful bothsiderist stuff had got to stop its not even funny any more т▒Э.the news is that actual Nazis are marching in this country and killing people and the response of some is but the blahs and the Dp allows such posts to stay up and the posters to continue posting т�Ь,0.525,0.0125
that is child abuse,that is child abuse,0.1929824561403508,0.0
"thats right they are not normal and i am starting from the premise that they are abnormal proceed wth the typical racist bigot sexist rubbish
thanks",thats right they are not normal and i am starting from the premise that they are abnormal proceed wth the typical bad words,0.8032786885245901,0.0655737704918032
only a fool would believe that the msm is not biased against this president,Only a naive person would believe that the msm is not biased against this president.,0.7105263157894737,0.0131578947368421
no   there are no alternative facts go check for yourself it is people like you who have no idea what you are talking about that has gotten this state and country into the mess it is in people who think the goverment be it state or federal can spend the peoples money better than they can is stupid and nonsensical politicians use taxes as personal slush accounts to continue their carrers buying votes from the lame and the lazy,no  there are no alternative facts go check for yourself it is people like you who have no idea what you are talking about that has gotten this state and country into the mess it is in people who think the goverment be it state or federal can spend the peoples money better than they can is bad and senseless politicians use taxes as personal slush accounts to continue their carrers buying votes from the lame and lazy,0.5972222222222222,0.0138888888888888
"the more you whine sore loser artster

the more we enjoy your agony","The more you complain,the more we enjoy your agony.",0.65,0.0
wow some mental gymnastics there mr gupta troll ask not for whom the bell trolls,wow some mental gymnastics there mr gupta ask not for whom the bell trolls,0.463768115942029,0.0144927536231884
disgusting,disgusting,0.6065573770491803,0.0163934426229508
just who  does the buffoon think he is representing,just who  does he think he is representing,0.5303030303030303,0.0151515151515151
this is just disgusting the dnc politicizing this soldiers death and the response from trump,this is just disgusting the dnc politicizing this soldiers death and the response from trump,0.3448275862068966,0.0517241379310344
because the oregon state school board is comprised of 100 political correct fools who think throwing money at education is the solution to the incompetent stupidity this board inflicts on our schools,because the oregon state school board is comprised of 100 political correct people who think throwing money at education is the solution to the bad situation this board inflicts on our schools,0.7361111111111109,0.0416666666666666
gtfo,gtfo,0.0862068965517241,0.0
all you ever talk about is trolling you and your troll president can burn for all i care,all you ever talk about is trolling you and your president can burn for all i care,0.6461538461538462,0.0769230769230769
yep this crap sounds like its from a libertarian,yep this sounds like its from a libertarian,0.8333333333333333,0.0454545454545454
"irt marilyn
what a completely stupid letter about a serious topic in syria   using this to make your political point   you have nothing better here   i dont mind if you dont like trump but suggesting this is some timed is ridiculous",irt marilyn▒what a completely bad letter about a serious topic in syria   using this to make your political point   you have nothing better here   i dont mind if you dont like trump but suggesting this is some timed is ridiculous,0.8032786885245901,0.0163934426229508
"watch people die from taking away their healthcare

ding ding ding  winner of stupid post of the day award",watch people die from taking away their healthcare  winner of post of the day award,0.9,0.0833333333333333
tsboy  klastri is a liar and a pretty good one  tried to convince me that i was a liar when i called him out being an outright liar who is always twisting the facts  you gottem by he whatevers,tsboy  klastri is a liar and a pretty good one  tried to convince me that i was lying when i called him out being an outright liar who is always twisting the facts  you gottem by he whatevers,0.5606060606060606,0.0
to protest such is meaningless stupidity of the left period its not thier busines to know anyones tax returns prior to being elected into office  and please save the stupidity this is left wing period get over it regardless of how many times you post your drivel we see thru you left wingnuts if there is anything wrong the irs will deal with issues as for the russian bs again grow up and get into reality,to protest such is meaningless of the left period its not thier busines to know anyones tax returns prior to being elected into office  and please save it this is left wing period get over it regardless of how many times you post your drivel we see thru you left wingnuts if there is anything wrong the irs will deal with issues as for the russian bs again grow up and get into reality,0.7571428571428571,0.0285714285714285
the trump supporters dont give a damn  their mantra was anyone but hillary  now trumps going to suck the life out of them  heres your shovel now dig six feet under,the trump supporters dont care  their mantra was anyone but hillary  now trumps going to ruin the life out of them  heres your shovel now dig six feet under,0.581081081081081,0.054054054054054
"dunleavy another smallminded gargantuanedegoed and selfproclaimed fumblementalist prophet presuming to bestow his superior if not supreme knowledge upon the rest of us we who have been watching his antics over the last several legislative sessions know better methinks
damn but the rethuglicans have been bombing us with fecal ferrets and shitweasels since gerrymandering this state and destroying representative democracy back in 2010 just look at the state of the state today",Dunleavy another smallminded and selfproclaimed fumblementalist presuming to bestow his superior if not supreme knowledge upon the rest of us we who have been watching his antics over the last several legislative sessions know better.,0.6875,0.125
trump with brains malignant brains but brains nonetheless,trump with brains malignant but brains nonetheless,0.365079365079365,0.0
seems more to me like the far right whack jobs have their racist misogynist in office than any supposed recent liberal leanings of gw,seems more to me like the far right whack jobs have their racist person in office than any supposed recent liberal leanings of gw,0.3382352941176471,0.0294117647058823
what an ugly orgy  shame on fish and game for allowing this  how many ways can we devise to exploit a resourceshame on us,what an orgy  shame on fish and game for allowing this  how many ways can we devise to exploit a resourceshame on us,0.625,0.0375
lol really no offence but thats an idiotic statement im not looking for likes from the douches on the left right political side of things you cant honestly think this though our government federally and provincially across canada works exactly like this the more money in the more money spent it is always and will always be spent with little oversight common sense little efficiency thats it you see provinces with hst taxing more that have massive debts obviously more money didnt make them better money managers quite the opposite actually they post phony  surpluses but debts are ever increasing the problem is the way money is spent thats it bloated public sectors thats sole obligation is to become more bloated what bloats more then more money dont be naive to think less equalization would magically turn these inept politicians to manage money any better that includes cons libs and dippers they have zero sense of money management and probably never will,Lol really no offence but that's a bad statement I'm not looking for likes from the people on the left right political side of things you can't honestly think this though our government federally and provincially across canada works exactly like this the more money we spend it is always and will always be spent with little oversight common sense little efficiency thats it you see provinces with hst taxing more that have massive debts obviously more money didnt make them better money managers quite the opposite actually they are ever increasing the problem is the way money is spent thats it bloated public sectors thats sole obligation is to become more bloated what bloats more,0.9,0.0
"stupid is what stupid thinks and says

cheers
russian troll",Unpleasant is what unpleasant thinks and says.,0.9285714285714286,0.0428571428571428
kind of like you and your smallminded repetitive and utterly banal drivel,kind of like you and your smallminded repetitive and utterly banal drivel,0.5466666666666666,0.0133333333333333
"trump said ill tell you about that maybe sometime
i predict that trump will renege on that comment like he has done on so many of his promises
trump is the liar and thief of the usa",I will tell you about that maybe sometime. I predict that Trump will renege on that comment like he has done on so many of his promises.Trump is not trustworthy.,1.0,0.0
tens years ago i contacted the pdr and suggested that the time might be good to work with alaska on building a gas line alaska rejected them without even consideration despite china being flush with cash and hungry for gas and set up another infamous boondoggle the transcanadaexxon rip off that we are still paying for and have yet to receive anything of value hundreds of millions of dollars on studies and buyouts i hope china says f you alaska you are nothing but ignorant people,tens years ago i contacted the pdr and suggested that the time might be good to work with alaska on building a gas line alaska rejected them without even consideration despite china being flush with cash and hungry for gas and set up another infamous boondoggle the transcanadaexxon rip off that we are still paying for and have yet to receive anything of value hundreds of millions of dollars on studies and buyouts i hope china says f you alaska you are nothing but ignorant people,0.8333333333333333,0.0
headline porn,headline porn,0.55,0.0
"the answer to your question shiftworker1 is that the canadian electoral system assumes that nonvoters are equally unhappy with whoever is elected  it ignores nonvotes and awards legislative authority to whichever party gets a plurality of votes
of course your proposal that we all not vote is not a credible proposal and therefore just wastes our time reading it",the answer to your question shiftworker1 is that the canadian electoral system assumes that nonvoters are equally unhappy with whoever is elected  it ignores nonvotes and awards legislative authority to whichever party gets a plurality of votes.of course your proposal that we all not vote is not a credible proposal and therefore just wastes our time reading it,0.0154362416107382,0.0
cnt twt btch whre,cnt twt girl whre,0.3875,0.1
bunch of inefficient goons cant believe why our government is handing billions of our hard earned monies on a plate to these ineffective noncompetitive useless executives in bombardier we would have got much better roi if our influence meddling liberal government invested these monies in new startups techno companies an in new innovations employing millions of our young capable smart  individuals what a pity,people cant believe why our government is giving billions of our hard earned monies on a plate to these noncompetitive people in bombardier we would have got much better roi if our influence meddling liberal government invested these monies in new startups techno companies an in new innovations employing millions of our young capable smart  individuals what a pity,0.8,0.0
"theres rarely opportunity to agree with bennet on much but in this case hes right  trump is potus mostly because the electorate has grown so sick and tired of the status quo in washington dc  and electing trump was their backlash  

and for the final paragraph hed be more accurate if hed replaced the word price with the word cost  prices are high because costs are high  any reform needs to be focused on cost containment",theres rarely opportunity to agree with bennet on much but in this case hes right  trump is potus mostly because the electorate has grown so sick and tired of the status quo in washington dc  and electing trump was their backlash  тАЬand for the final paragraph hed be more accurate if hed replaced the word price with the word cost  prices are high  any reform needs to be focused on cost containment,0.1111111111111111,0.0
give me a break  truth is all the selfrighteous emoting about the weinstein sexual abuse case is just cheap tawdry  gossipy entertainment for the vacuous american masses who need to get their daily cheap thrill without taking responsibility for their actions maybe  im a cynic but i wonder how many of these shallow selfrighteous people voted for agent orange who was a known sexual abuser  were  being entertained to death   this is kind of how the roman empire ended,give me a break  truth is all the people talking about the weinstein sexual abuse case is just cheap tawdry  gossipy entertainment for the vacuous american masses who need to get their daily cheap thrill without taking responsibility for their actions maybe  im a cynic but i wonder how many of these people voted for agent orange who was a known sexual abuser  were  being entertained to death   this is kind of how the roman empire ended,0.1428571428571428,0.0
ok turkish embassy in ottawa heres my insult against erdogan hes a lowlife fascist dictator he should be overthrown and dumped into the black sea now try sending out your goons to do something about it,ok turkish embassy in ottawa heres my insult against erdogan hes a lowlife fascist dictator he should be ousted and dumped into the black sea now try sending out your goons to do something about it,0.55,0.0375
wow sara fredericks is a hatefilled monster,wow sara fredericks is a hatefilled monster,0.7407407407407407,0.0185185185185185
the law has every freedom to be an asss,the law has every freedom to be an asss,0.8,0.1
i give you two recent examples to back up my sarcastic point  all you have is name calling,i give you two recent examples to back up my sarcastic point  all you have is name calling,0.1111111111111111,0.0
right on  the sad part of this focus on bashing trump is that they are missing the opportunity to channel that passion into positive constructive ideas and build a platform to fix what they think is wrong  unless they aint got any ideas  which is a definite possibility,right on  the sad part of this focus on bashing trump is that they are missing the opportunity to channel that passion into positive constructive ideas and build a platform to fix what they think is wrong  unless they aint got any ideas  which is a definite possibility,0.1428571428571428,0.0
"you are incorrectcomrade
you probably wanted to say that defending oneself against russian aggression is a war crime and attacking ukraine is ok how ridiculous you are tell your kremlin bosses to get their troops out of ukraine and out of georgia moldova syria etc",you probably wanted to say that defending oneself against russian aggression is a war crime and attacking ukraine is ok how ridiculous you are tell your kremlin bosses to get their troops out of ukrain and out of georgia moldova syria etc,0.6197183098591549,0.0140845070422535
leftarded snowflake i bet this dumb broad thinks trump is hitler,leftarded snowflake i bet this broad thinks trump is hitler,0.8620689655172413,0.0344827586206896
